lemma,definition,count
know,To perceive the truth or factuality of; to be certain of; to be certain that.,14532890
get,To obtain; to acquire.,11099457
like,"To enjoy, be pleased by; favor; be in favor of.",10258033
go,"To move, either physically or in an abstract sense",10138442
right,"Designating the side of the body which is positioned to the east if one is facing north, the side on which the heart is not located in most humans. This arrow points to the reader's right: →",9622115
come,To move nearer to the point of perspective.,8374107
one,The represented by the ; the numerical value equal to that cardinal number.,8317958
got,{{non-gloss|Expressing obligation; used with .}},8307742
want,"To wish for or desire (something); to feel a need or desire for; to crave, hanker, or demand.",7453923
well,"Accurately, competently, satisfactorily.",7286813
think,"To ponder, to go over in one's mind.",6626077
see,"To perceive or detect someone or something with the eyes, or as if by sight.",6212749
let,"To allow to, not to prevent {{qualifier|+ infinitive, but usually without }}.",6064689
time,The inevitable progression into the future with the passing of present and past events.,5631478
look,"To try to see, to pay attention to with one’s eyes.",5552992
back,At or near the rear.,5148907
take,"To get into one's hands, possession or control, with or without force.",4899331
na,Not.,4809536
say,To pronounce.,4700710
man,An adult male human.,4586583
tell,"To count, reckon, or enumerate.",4259344
thing,"That which is considered to exist as a separate entity, object, quality or concept.",4209293
make,To create.,3995963
need,A for something; something .,3881908
really,"In a way or manner that is real, not unreal.",3861934
way,To do with a place or places.,3708028
find,To locate,3488344
mean,To intend.,3486804
never,At no time; on no occasion; in no circumstance.,3293446
doe,"A female deer; also used of similar animals such as antelope (less commonly a goat, as is also used).",3255639
guy,An effigy of a man burned on a bonfire on the anniversary of the Gunpowder Plot (5th November).,3253415
little,Small in size.,3076612
people,a body of persons considered generally or collectively; a group of two or more persons.,3019792
give,"To move, shift, provide something abstract or concrete to someone or something or somewhere.",2991969
please,To make happy or satisfy; to give pleasure to.,2987131
sorry,Regretful or apologetic for one's actions.,2984116
day,The time when the Sun is above the horizon and it lights the sky.,2963861
love,A deep caring for the existence of another.,2923546
two,A numerical value equal to 2; this many dots (••).,2764445
life,"The state of organisms preceding their death, characterized by biological processes such as metabolism and reproduction and distinguishing them from inanimate objects; the state of being alive and living.",2542357
sure,"Physically secure and certain, non-failing, reliable.",2476588
help,Action given to provide assistance; aid.,2462706
even,Flat and level.,2458695
much,A large amount of.,2451535
year,A period of time akin to the time taken for the Earth to undergo a full cycle of seasons.,2441377
god,"A deity or supreme being; a supernatural, typically immortal, being with superior powers, to which personhood is attributed.",2427470
work,Employment.,2344921
sir,A man of a higher rank or position.,2313447
call,To reach out with one's voice.,2243039
still,Not moving; calm.,2195731
first,Preceding all others of a series or kind; the ordinal of one; earliest.,2191956
nothing,Not any thing; no thing.,2152626
stop,To cease moving.,2144083
wait,To delay movement or action until some event or time; to remain neglected or in readiness.,2084079
maybe,"Perhaps, possibly.",2062724
put,To physically place (something or someone somewhere).,2026097
talk,"To communicate, usually by means of speech.",2022857
night,The time when the Sun is below the horizon when the sky is dark.,2012208
thought,"A representation created in the mind without the use of one's faculties of vision, sound, smell, touch, or taste; an instance of thinking.",1999012
must,To do as a requirement; .,1975253
keep,To continue in (a course or mode of action); to not intermit or fall from; to uphold or maintain.,1949519
home,A dwelling.,1928254
great,Taking much space; large.,1918505
away,"From a place, hence.",1916853
friend,"A person, typically someone other than a family member, spouse or lover, whose company one enjoys and towards whom one feels affection.",1872634
girl,A female child.,1871158
last,"Final, ultimate, coming after all others of its kind.",1845389
name,"Any nounal word or phrase which indicates a particular person, place, class, or thing.",1803337
long,Having much distance in space from one end to the other.,1757160
new,"made, or created.",1756800
bad,Of low quality.,1731975
feel,To use or experience the sense of touch.,1683849
always,At all times; throughout all time; since the beginning.,1668586
place,An area; somewhere within an area.,1660957
around,Forming a circle or closed curve containing (something).,1649979
ever,"Always, frequently, forever.",1630744
boy,A male child.,1629872
old,"Of an object, concept, relationship, etc., having existed for a relatively long period of time.",1616260
woman,An adult female human.,1597580
leave,To have a consequence or remnant.,1597111
money,A generally accepted means of exchange.,1551660
father,"A male parent, especially of a human; a male who parents a child (which he has sired, adopted, fostered, taken as his own, etc.).",1525184
lot,A large quantity or number; a great deal.,1519348
made,A grub or maggot.,1491375
big,"Of great size, large.",1464253
believe,"To accept as true, particularly without absolute certainty (i.e., as opposed to knowing).",1455463
stay,"To remain in a particular place, especially for a definite or short period of time; sojourn; abide.",1442603
done,Having completed or finished an activity.,1427638
kind,"A type, race or category; a group of entities that have common characteristics such that they may be grouped together.",1414574
hand,"The part of the forelimb below the forearm or wrist in a human, and the corresponding part in many other animals.",1399950
kill,To put to death; to extinguish the life of.,1396166
nice,"Pleasant, satisfactory.",1396002
three,A numerical value after two and before four. Represented in Arabic digits as 3; this many dots (•••).,1390638
every,"of a countable group (considered individually), without exception.",1386501
house,A structure built or serving as an abode of human beings.,1371074
kid,"A child, adolescent or a young adult.",1369233
someone,One or some person of unspecified or indefinite identity.,1366477
shit,Usually solid excretory product evacuated from the bowels; feces.,1356096
minute,A unit of time which is one sixtieth of an hour (sixty seconds).,1340088
world,"The subjective human experience, regarded collectively; human collective existence; existence in general; the reality we live in.",1338430
